Country,URL,Year,NumAuth,Agency,ReportSeries,Title,FirstAuthor,AllAuthors,Citation
New Zealand,,1988,1,MoF,Research Papers,Tarakihi,"Annala, J. H.",,"Annala, J. H. (et al.?) 1988 Tarakihi"
New Zealand,,1988,1,MoF,Research Papers,Trevally,"Gilbert, D.J.",,"Gilbert, D.J. (et al.?) 1988 Trevally"
New Zealand,,1988,1,MoF,Research Papers,The relevance of MSY and other biological reference points to stock assessment in New Zealand,"Mace, P. M.",,"Mace, P. M. (et al.?) 1988 The relevance of MSY and other biological reference points to stock assessment in New Zealand"
New Zealand,,1988,1,MoF,Research Papers,Hake,"Colman, J. A.",,"Colman, J. A. (et al.?) 1988 Hake"
New Zealand,,1988,1,MoF,Research Papers,Ling,"Colman, J. A.",,"Colman, J. A. (et al.?) 1988 Ling"
New Zealand,,1988,1,MoF,Research Papers,Southern blue whiting,"Colman, J. A.",,"Colman, J. A. (et al.?) 1988 Southern blue whiting"
New Zealand,,1988,1,MoF,Research Papers,Silver warehou,"Livingston, M.E.",,"Livingston, M.E. (et al.?) 1988 Silver warehou"
New Zealand,,1988,1,MoF,Research Papers,Grey mullet,"Hore, A. J.",,"Hore, A. J. (et al.?) 1988 Grey mullet"
New Zealand,,1988,1,MoF,Research Papers,John dory,"Hore, A. J.",,"Hore, A. J. (et al.?) 1988 John dory"
New Zealand,,1988,1,MoF,Research Papers,"Orange roughy fishery assessment, Cape Runaway to Banks Peninsula - 1988","Annala, J. H.",,"Annala, J. H. (et al.?) 1988 Orange roughy fishery assessment, Cape Runaway to Banks Peninsula - 1988"
New Zealand,,1988,1,MoF,Research Papers,Blue cod,"McGregor, G. A.",,"McGregor, G. A. (et al.?) 1988 Blue cod"
New Zealand,,1988,1,MoF,Research Papers,Kahawai,"Kilner, A. R.",,"Kilner, A. R. (et al.?) 1988 Kahawai"
New Zealand,,1988,1,MoF,Research Papers,Stargazer,"McGregor, G. A.",,"McGregor, G. A. (et al.?) 1988 Stargazer"
New Zealand,,1988,2,MoF,Research Papers,A generalised bioeconomic simulation model for fish population dynamics,"Doonan, I.J.",,"Doonan, I.J. (et al.?) 1988 A generalised bioeconomic simulation model for fish population dynamics"
