Country,Comment,URL,Year,NumAuth,Agency,ReportSeries,Branch,FirstAuthor,AllAuthors,Citation,Title,Date,Vol
Scotland,,,1992,2,Fisheries Research Services,Internal Reports,,,"Turrell, W.G. & Slessor, G.",,Annual cycles of physical chemical and biological parameters. (05/92) [no document available],01/01/1992
Scotland,,,1992,2,Fisheries Research Services,Internal Reports,,,"Robertson, J.H.B. & Leaver, I.D.",,A test of the twin trawl system for catch comparison. (06/92) [no document available],01/01/1992
Scotland,,,1992,2,Fisheries Research Services,Internal Reports,,,"Pirie, J. & McRae, L.",,Six monthly survey of mercury concentrations in exported fish and shellfish species current values: Spring 1992. (07/92) [no document available],01/01/1992
Scotland,,,1992,1,Fisheries Research Services,Internal Reports,,,"Galbraith, R.D.",,Swept volume comparisons of the principle Scottish demersal gears. (08/92) [no document available],01/01/1992
Scotland,,,1992,3,Fisheries Research Services,Internal Reports,,,"Harding, M.J.C.; Bailey, S.K. & Davies, I.M.",,UK Department of the Environment TBT Imposex Survey of the North Sea Contract PECD 7/8/214. (09/92) [no document available],01/01/1992
Scotland,,,1992,3,Fisheries Research Services,Internal Reports,,,"Harding, M.J.C.; Bailey, S.K. & Davies, I.M.",,UK Department of the Environment TBT Imposex Survey of the North Sea Contract PECD 7/8/214 Annex 1: Norway. (10/92) [no document available],01/01/1992
Scotland,,,1992,3,Fisheries Research Services,Internal Reports,,,"Harding, M.J.C.; Bailey, S.K. & Davies, I.M.",,UK Department of the Environment TBT Imposex Survey of the North Sea Contract PECD 7/8/214 Annex 2: Sweden. (11/92) [no document available],01/01/1992
Scotland,,,1992,3,Fisheries Research Services,Internal Reports,,,"Harding, M.J.C.; Bailey, S.K. & Davies, I.M.",,UK Department of the Environment TBT Imposex Survey of the North Sea Contract PECD 7/8/214 Annex 3: Denmark. (12/92) [no document available],01/01/1992
Scotland,,,1992,3,Fisheries Research Services,Internal Reports,,,"Harding, M.J.C.; Bailey, S.K. & Davies, I.M.",,UK Department of the Environment TBT Imposex Survey of the North Sea Contract PECD 7/8/214 Annex 5: Netherlands. (14/92) [no document available],01/01/1992
Scotland,,,1992,3,Fisheries Research Services,Internal Reports,,,"Harding, M.J.C.; Bailey, S.K. & Davies, I.M.",,UK Department of the Environment TBT Imposex Survey of the North Sea Contract PECD 7/8/214 Annex 6: Belgium. (15/92) [no document available],01/01/1992
Scotland,,,1992,3,Fisheries Research Services,Internal Reports,,,"Harding, M.J.C.; Bailey, S.K. & Davies, I.M.",,UK Department of the Environment TBT Imposex Survey of the North Sea Contract PECD 7/8/214 Annex 7: France. (16/92) [no document available],01/01/1992
Scotland,,,1992,3,Fisheries Research Services,Internal Reports,,,"Harding, M.J.C.; Bailey, S.K. & Davies, I.M.",,UK Department of the Environment TBT Imposex Survey of the North Sea Contract PECD 7/8/214 Annex 8: United Kingdom. (17/92) [no document available],01/01/1992
Scotland,,,1992,3,Fisheries Research Services,Internal Reports,,,"Davies, I.M., Bailey, S.K. & Harding, M.J.C.",,UK Department of the Environment TBT Imposex Survey of the North Sea Contract PECD 7/8/214 Annex 18. (18/92) [no document available],01/01/1992
Scotland,,,1992,4,Fisheries Research Services,Internal Reports,,,"Bailey, N.; Howell, T.; Chapman, C.J. & Thain, S.E.B.",,SOAFD Solway cockle survey 1991. (19/92) [no document available],01/01/1992
Scotland,,,1993,1,Fisheries Research Services,Internal Reports,,,"Brown, F.M.J.",,Six monthly survey of mercury concentrations in exported fish and shellfish species. Current values: Autumn 1992. (01/93) [no document available],01/01/1993
Scotland,,,1993,1,Fisheries Research Services,Internal Reports,,,"Kynoch, R.J.",,Stuarts of Musselburgh Twin Crown Trawl - engineering performance and observations. (02/93) [no document available],01/01/1993
Scotland,,,1993,3,Fisheries Research Services,Internal Reports,,,"Balls, P.W.; Brown, F.M.J. & Campbell, L.A.",,Nutrient distributions in nine Scottish east coast estuaries. (03/93) [no document available],01/01/1993
Scotland,,,1993,4,Fisheries Research Services,Internal Reports,,,"Gillibrand, P.A.; Turrell, W.R.; Payne, R. & Adams, R.D.",,Loch Sunart hydrographic surveys 1987-1990 current meter data report. (04/93) [no document available],01/01/1993
Scotland,,,1993,1,Fisheries Research Services,Internal Reports,,,"Hall, C.D.",,The effects of seismic exploration and underwater explosions on marine life: a bibliography. (05/93) [no document available],01/01/1993
Scotland,,,1993,2,Fisheries Research Services,Internal Reports,,,"Brown, F.M.J. & Rowe, B.",,Six monthly survey of mercury concentrations in explorted fish and shellfish species. Current values: Spring 1993. (06/93) [no document available],01/01/1993
Scotland,,,1994,5,Fisheries Research Services,Internal Reports,,,"McKay, D.W.; Howell, T.; Shanks, A.; Thain, S.E.B. & Keith, F.",,Report on cockle stocks in the Findhorn Bay/Nairn area. (01/94) [no document available],01/01/1994
Scotland,,,1994,2,Fisheries Research Services,Internal Reports,,,"Robertson, J.H.B. & Shanks, A.M.",,Analysis of fishing trials using the twin trawl system of nets with windows of square mesh. (02/94) [no document available],01/01/1994
Scotland,,,1994,4,Fisheries Research Services,Internal Reports,,,"Wells, D.W.; Finlayson, D.M.; Horton, C. & Robson, J.H.",,"Distribution of dichlorvos and rhodamine B in fish cages and surrounding water resulting from the treatment of Atlantic salmon infested with sea louse ( Lepeophtherus salmonis) in Glenmore Bay, Loch Sunart. (03/94) [no document available]",01/01/1994
Scotland,,,1994,2,Fisheries Research Services,Internal Reports,,,"Wells, D.W.; Finlayson, D.M.",,"Uptake and depuration of dichlorvos by the mussel, Mytilus Edulis L., in experimental studies. (04/94) [no document available]",01/01/1994
Scotland,,,1994,3,Fisheries Research Services,Internal Reports,,,"Smith, G.W.; Sarno, B. & Urquhart, G.G.",,Field managements of the errors associated with ultrasonic tracking using a fixed hydrophone array. (05/94) [no document available],01/01/1994
Scotland,,,1994,4,Fisheries Research Services,Internal Reports,,,"Brewer, M.J.; Galbraith, R.D.; Fryer, R.J. & Ferro, R.S.T.",,"Haul-by-haul analysis of pair seine cod-end selection data MV Liberty and Fulmar, September 1993. (06/94) [no document available]",01/01/1994
Scotland,,,1994,4,Fisheries Research Services,Internal Reports,,,"Chapman, C.J.; Howell, T.R.W.; Bailey, N. & Thain, S.E.B.",,SOAFD Solway cockle survey 1992-1993. (07/94) [no document available],01/01/1994
Scotland,,,1994,4,Fisheries Research Services,Internal Reports,,,"Howell, T.R.W.; McKay, D.W.; Chapman, C.J. & Thain, S.E.B.",,SOAFD Solway cockle survey 1994. (08/94) [no document available],01/01/1994
Scotland,,,1994,2,Fisheries Research Services,Internal Reports,,,"Gillibrand, P.A. & Adams, R.D.",,Measurement of Richardson numbers in two Scottish sea lochs. (09/94) [no document available],01/01/1994
Scotland,,,1995,UFO,Fisheries Research Services,Internal Reports,,,Anon,,"Report of Marine Laboratory scallop workshop, 1994. (01/95) [no document available]",01/01/1995
Scotland,,http://www.scotland.gov.uk/Uploads/Documents/sfwp295.pdf,1995,1,Fisheries Research Services,Internal Reports,,,"Smith, I.P.",,Preliminary assessment of the influence of tide on movements of salmon into the lower River Dee (Grampian Region) as determined by an automatic fish counter. (02/95),01/01/1995
Scotland,,,1995,3,Fisheries Research Services,Internal Reports,,,"Gosden, S.J.; Stewart, P.A.M. & Newton, A.W.",,Assessment of the effects on discard rates of introducing square mesh panels in the Scottish Nephrops trawl fishery. (03/95) [no document available],01/01/1995
Scotland,,,1995,2,Fisheries Research Services,Internal Reports,,,"O'Neill, F.G. & Kynoch, R.J.",,The effect of cover mesh size and cod-end catch size on cod-end selectivity. (04/95) [no document available],01/01/1995
Scotland,,,1995,2,Fisheries Research Services,Internal Reports,,,"Turrell, W.R. & Ketcher, D.J.",,CTD raw data description from the 1994 L'Espoir North Atlantic survey. (05/95) [no document available],01/01/1995
Scotland,,,1995,2,Fisheries Research Services,Internal Reports,,,"Turrell, W.R. & Adams, R.D.",,Raw hydrographic data and CTD calibration details from the 1994 L'Espoir North Atlantic survey. (06/95) [no document available],01/01/1995
Scotland,,,1995,4,Fisheries Research Services,Internal Reports,,,"Howell, T.R.W.; Chapman, C.J.; Thain, S.E.B. & Hawkins, M.",,Survey of Solway cockle grounds 1995. (07/95) [no document available],01/01/1995
Scotland,,,1995,3,Fisheries Research Services,Internal Reports,,,"Harding, M.J.C.; Bailey, S.K. & Davies, I.M.",,"Effect of TBT on the reproductive success of the dogwhelk, Nucella lapillus. (08/95) [no document available]",01/01/1995
Scotland,,http://www.scotland.gov.uk/Uploads/Documents/IR0296.pdf,1995,1,Fisheries Research Services,Internal Reports,,,"Slessor, G.",,A DOS application for thermo-salinograph and fluorometer data capture viewing and editing processing routines. (09/95),01/01/1995
Scotland,,http://www.scotland.gov.uk/Uploads/Documents/IR0196.pdf,1996,3,Fisheries Research Services,Internal Reports,,,"Wells, D.E.; McKenzie, C. & Ross, H.M.",,Chlorobiphenyl patterns in marine mammals from northern European waters. (01/96),01/01/1996
Scotland,,http://www.scotland.gov.uk/Uploads/Documents/IR0296.pdf,1996,1,Fisheries Research Services,Internal Reports,,,"Slessor, G.",,A DOS application for processing and displaying Aanderaa instrument data. (02/96),01/01/1996
Scotland,,http://www.scotland.gov.uk/Uploads/Documents/IR0396.pdf,1996,1,Fisheries Research Services,Internal Reports,,,"Payne, R.",,Help on mooring procedures. (03/96),01/01/1996
Scotland,,http://www.scotland.gov.uk/Uploads/Documents/IR0496.pdf,1996,4,Fisheries Research Services,Internal Reports,,,"Howell, T.R.W.; Chapman, C.J.; Thain, S.E.B. & Hawkins, M.",,Survey of Solway cockle grounds 1996. (04/96),01/01/1996
Scotland,,http://www.scotland.gov.uk/Uploads/Documents/1-97.pdf,1997,3,Fisheries Research Services,Internal Reports,,,"Shanks, A.; Robertson, J. & Bova, D.",,Trials of creels fitted with an escape gap in a fishery for velvet swimming crabs ( Necora puber). (01/97),01/01/1997
Scotland,,http://www.scotland.gov.uk/Uploads/Documents/IR0297.pdf,1997,1,Fisheries Research Services,Internal Reports,,,"Kynoch, R.J.",,Engineering performance of three Scottish demersal trawling gears used in ICES sub area VIA. (02/97),01/01/1997
Scotland,,http://www.scotland.gov.uk/Uploads/Documents/IR0397.pdf,1997,2,Fisheries Research Services,Internal Reports,,,"Gillibrand, P.A. & Turrell, W.R.",,Simulating the dispersion and setting of particulate material and associated substances from salmon farms. (03/97),01/01/1997
Scotland,,http://www.scotland.gov.uk/Uploads/Documents/IR0497.pdf,1997,2,Fisheries Research Services,Internal Reports,,,"Robertson, J.H.B. & Shanks, A.M.",,Experiments with rigid grids in the Nephrops and whitefish fisheries. (04/97),01/01/1997
Scotland,,,1997,UFO,Fisheries Research Services,Internal Reports,,,FRS,,Biannual Review 1995-1997. (05/97) [no document available],01/01/1997
Scotland,,http://www.scotland.gov.uk/Uploads/Documents/IR0697.pdf,1997,3,Fisheries Research Services,Internal Reports,,,"Turrell, W.R.; Slesser, G. & Shelton, R.G.J.",,Hydrographic observations collected during the MLA 1997 summer post-smolt investigations. (06/97),01/01/1997
Scotland,,http://www.scotland.gov.uk/Uploads/Documents/IR0797.pdf,1997,1,Fisheries Research Services,Internal Reports,,,"Turrell, W.R.",,Examination of survey techniques using a simple method of a research vessel cruise. (07/97),01/01/1997
Scotland,,http://www.scotland.gov.uk/Uploads/Documents/IR0897.pdf,1997,5,Fisheries Research Services,Internal Reports,,,"Howell, T.R.W.; Davis, S.E.B.; Donald, J.W.; Bailey, N. & Chapman, C.J.",,Survey of Solway cockle grounds 1997. (08/97),01/01/1997
